id,kickoff_time_formatted,started,event_day,deadline_time,deadline_time_formatted,team_h_difficulty,team_a_difficulty,code,kickoff_time,team_h_score,team_a_score,finished,minutes,provisional_start_time,finished_provisional,event,team_a,team_h
115,18 Nov 15:00,1,1,2017-11-18T11:30:00Z,18 Nov 11:30,2,3,919007,2017-11-18T15:00:00Z,2,2,1,90,0,1,12,7,6
116,18 Nov 15:00,1,1,2017-11-18T11:30:00Z,18 Nov 11:30,5,3,919008,2017-11-18T15:00:00Z,0,2,1,90,0,1,12,11,9
117,18 Nov 15:00,1,1,2017-11-18T11:30:00Z,18 Nov 11:30,2,4,919009,2017-11-18T15:00:00Z,3,0,1,90,0,1,12,14,10
118,18 Nov 17:30,1,1,2017-11-18T11:30:00Z,18 Nov 11:30,3,4,919010,2017-11-18T17:30:00Z,4,1,1,90,0,1,12,13,12
119,19 Nov 16:00,1,2,2017-11-18T11:30:00Z,18 Nov 11:30,2,3,919011,2017-11-19T16:00:00Z,2,0,1,90,0,1,12,20,18
120,18 Nov 15:00,1,1,2017-11-18T11:30:00Z,18 Nov 11:30,4,2,919012,2017-11-18T15:00:00Z,0,4,1,90,0,1,12,5,19
121,25 Nov 15:00,1,2,2017-11-24T19:00:00Z,24 Nov 19:00,2,3,919014,2017-11-25T15:00:00Z,2,1,1,90,0,1,13,15,6
122,26 Nov 16:00,1,3,2017-11-24T19:00:00Z,24 Nov 19:00,5,2,919015,2017-11-26T16:00:00Z,1,2,1,90,0,1,13,11,8
123,25 Nov 17:30,1,2,2017-11-24T19:00:00Z,24 Nov 19:00,4,4,919016,2017-11-25T17:30:00Z,1,1,1,90,0,1,13,5,10
124,25 Nov 15:00,1,2,2017-11-24T19:00:00Z,24 Nov 19:00,2,4,919017,2017-11-25T15:00:00Z,1,0,1,90,0,1,13,3,12
125,25 Nov 15:00,1,2,2017-11-24T19:00:00Z,24 Nov 19:00,2,3,919018,2017-11-25T15:00:00Z,0,3,1,90,0,1,13,18,13
126,26 Nov 13:30,1,3,2017-11-24T19:00:00Z,24 Nov 19:00,2,2,919019,2017-11-26T13:30:00Z,4,1,1,90,0,1,13,7,14
